Straßenname,Ortsname,lat,lon,adresse
Gottleubaer Straße,Bad Gottleuba (Bad Gottleuba-Berggießhübel),50.851423,13.9445243,"Bad Gottleuba, Bad Gottleuba-Berggießhübel, Sächsische Schweiz-Osterzgebirge, Sachsen, 01816, Deutschland"
Gorknitzer Straße,Gorknitz (Kreischa),,,
Elsterwerdaer Straße,Elsterwerda,51.4614993,13.5204883,"Elsterwerda, Elbe-Elster, Brandenburg, 04910, Deutschland"
Fürstenwalder Straße,Fürstenwalde (Altenberg),50.76058,13.8681537,"Fürstenwalde, Altenberg, Sächsische Schweiz-Osterzgebirge, Sachsen, 01778, Deutschland"
Eisenacher Straße,Eisenach,50.9747134,10.3193565,"Eisenach, Wartburgkreis, Thüringen, 99817, Deutschland"
Alte Dresdner Straße,Dresden,51.0493286,13.7381437,"Dresden, Sachsen, Deutschland"
Finsterwalder Straße,Finsterwalde,51.6315282,13.707358,"Finsterwalde, Elbe-Elster, Brandenburg, 03238, Deutschland"
Bärensteiner Straße,Bärenstein,50.498968,13.0282091,"Bärenstein, Erzgebirgskreis, Sachsen, Deutschland"
Lauensteiner Straße,Lauenstein (Altenberg),50.7836648,13.8229917,"Lauenstein, Altenberg, Sächsische Schweiz-Osterzgebirge, Sachsen, 01778, Deutschland"
Moritzburg-Pillnitzer Weg,"Moritzburg, Pillnitz",,,
